113	-0.106600 0.046400 -0.060400 -0.022984 0.007676 -0.999706 -0.190700 -0.981654 -0.003225 -0.981268 0.191890 0.016455 -0.005871
112	-0.106600 0.046400 -0.060400 -0.190700 -0.981654 -0.003225 0.022984 -0.007676 0.999706 -0.981268 0.191890 0.016455 0.001164
111	-0.106600 0.046400 -0.060400 -0.022984 0.007676 -0.999706 -0.190700 -0.981654 -0.003225 -0.981268 0.191890 0.016455 1.001059
122	-0.102000 0.063100 -0.025600 0.001592 0.004517 -0.999984 -0.265233 -0.964173 -0.004786 -0.963466 0.267827 -0.000344 -0.003354
123	-0.102000 0.063100 -0.025600 -0.265233 -0.964173 -0.004786 -0.001592 -0.004517 0.999984 -0.963466 0.267827 -0.000344 -0.004871
121	-0.102000 0.063100 -0.025600 0.001592 0.004517 -0.999984 -0.265233 -0.964173 -0.004786 -0.963466 0.267827 -0.000344 0.997854
132	-0.108500 0.030200 -0.026600 0.005221 0.002062 -0.999945 -0.085453 -0.996340 -0.002464 -0.995557 0.094066 -0.003733 -0.003024
133	-0.108500 0.030200 -0.026600 -0.085453 -0.996340 -0.002464 -0.005221 -0.002062 0.999945 -0.995557 0.094066 -0.003733 -0.004062
131	-0.108500 0.030200 -0.026600 0.005221 0.002062 -0.999945 -0.085453 -0.996340 -0.002464 -0.995557 0.094066 -0.003733 1.003464
143	-0.109900 0.013100 -0.062700 -0.041273 0.002612 -0.999145 -0.034909 -0.999439 -0.001232 -0.999069 0.029371 0.031152 -0.006896
142	-0.109900 0.013100 -0.062700 -0.034909 -0.999439 -0.001232 0.041273 -0.002612 0.999145 -0.999069 0.029371 0.031152 -0.000212
141	-0.109900 0.013100 -0.062700 -0.041273 0.002612 -0.999145 -0.034909 -0.999439 -0.001232 -0.999069 0.029371 0.031152 0.990384
213	-0.107400 0.032900 0.008000 -0.060059 0.008593 -0.998158 -0.099271 -0.994983 -0.002626 -0.992693 0.102453 0.063688 -0.006078
212	-0.107400 0.032900 0.008000 -0.099271 -0.994983 -0.002626 0.060059 -0.008593 0.998158 -0.992693 0.102453 0.063688 -0.000637
211	-0.107400 0.032900 0.008000 -0.060059 0.008593 -0.998158 -0.099271 -0.994983 -0.002626 -0.992693 0.102453 0.063688 1.003806
222	-0.098900 0.040300 0.041300 -0.345501 0.060176 -0.936548 -0.162876 -0.986641 -0.003294 -0.924945 0.152115 0.348323 -0.002734
223	-0.098900 0.040300 0.041300 -0.162876 -0.986641 -0.003294 0.345501 -0.060176 0.936548 -0.924945 0.152115 0.348323 -0.005730
221	-0.098900 0.040300 0.041300 -0.345501 0.060176 -0.936548 -0.162876 -0.986641 -0.003294 -0.924945 0.152115 0.348323 0.997776
232	-0.101100 0.004400 0.040800 -0.348282 0.008883 -0.937335 0.040155 -0.998896 -0.024380 -0.935609 -0.043445 0.350351 -0.005258
233	-0.101100 0.004400 0.040800 0.040155 -0.998896 -0.024380 0.348282 -0.008883 0.937335 -0.935609 -0.043445 0.350351 -0.004019
231	-0.101100 0.004400 0.040800 -0.348282 0.008883 -0.937335 0.040155 -0.998896 -0.024380 -0.935609 -0.043445 0.350351 0.983056
243	-0.108300 -0.001100 0.007100 -0.071547 -0.010768 -0.997379 0.084232 -0.996451 0.004754 -0.993592 -0.080301 0.079500 -0.007267
242	-0.108300 -0.001100 0.007100 0.084232 -0.996451 0.004754 0.071547 0.010768 0.997379 -0.993592 -0.080301 0.079500 -0.003592
241	-0.108300 -0.001100 0.007100 -0.071547 -0.010768 -0.997379 0.084232 -0.996451 0.004754 -0.993592 -0.080301 0.079500 0.985006
313	-0.086100 0.098800 0.009000 -0.035287 0.118244 -0.992357 -0.488091 -0.868497 -0.086142 -0.875569 0.474166 0.092302 -0.005117
312	-0.086100 0.098800 0.009000 -0.488091 -0.868497 -0.086142 0.035287 -0.118244 0.992357 -0.875569 0.474166 0.092302 0.001097
311	-0.086100 0.098800 0.009000 -0.035287 0.118244 -0.992357 -0.488091 -0.868497 -0.086142 -0.875569 0.474166 0.092302 0.987208
322	-0.088700 0.075700 0.041200 -0.346440 0.116792 -0.930786 -0.369655 -0.928931 0.021028 -0.859892 0.353387 0.368357 -0.001745
323	-0.088700 0.075700 0.041200 -0.369655 -0.928931 0.021028 0.346440 -0.116792 0.930786 -0.859892 0.353387 0.368357 -0.003040
321	-0.088700 0.075700 0.041200 -0.346440 0.116792 -0.930786 -0.369655 -0.928931 0.021028 -0.859892 0.353387 0.368357 0.992670
333	-0.070200 0.075800 0.070700 -0.588136 0.226095 -0.776516 -0.390048 -0.920437 0.027370 -0.709640 0.317576 0.628926 -0.007186
